site,url,date_time,domain_of_jobs,job_title,position,experience,location,salary,qualification_level
karir.com,/opportunities/1223397,2019-03-31 23:02:08,Operasi Hotel,CALL CENTER TRAVEL ONLINE SEMARANG,,Setidaknya 0 tahun,Jawa Tengah,IDR 2.000.000 - 3.000.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1219706,2019-03-31 23:02:15,Pemasaran (Non-Teknis),Penyuluh Online Social Media Mapan (Go-jek Group),,Setidaknya 0 tahun,Yogyakarta,IDR 2.000.000 - 5.000.000,SLTA Semuanya
karir.com,/opportunities/1219911,2019-03-31 23:02:20,Layanan Pelanggan,CUSTOMER SERVICE BANDUNG,,Setidaknya 0 tahun,Bandung,IDR 3.200.000 - 3.850.000,Diploma Semuanya
karir.com,/opportunities/1220049,2019-03-31 23:02:24,"Teknik, Telekomunikasi",QA Call Center Semarang ,,Setidaknya 0 tahun,Jawa Tengah,IDR 3.000.000 - 5.000.000,Diploma Semuanya
karir.com,/opportunities/1220062,2019-03-31 23:02:28,Komunikasi and others,CUSTOMER SERVICE SOLO,,Setidaknya 0 tahun,Solo,IDR 1.800.000 - 2.300.000,Diploma Semuanya
karir.com,/opportunities/1220092,2019-03-31 23:02:32,Layanan Pelanggan,CUSTOMER SERVICE GORONTALO,,Setidaknya 0 tahun,Gorontalo,IDR 2.400.000 - 2.800.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1220110,2019-03-31 23:02:36,Penjualan dan Pemasaran,SPG/SPB Retail,,Setidaknya 0 tahun,Jakarta Barat,Gaji Kompetitif,SLTA Lainnya
karir.com,/opportunities/1220111,2019-03-31 23:02:39,Penjualan dan Pemasaran,SPG/SPB Fashion,,Setidaknya 0 tahun,DKI-Jakarta,IDR 3.900.000 - 4.500.000,SLTA Lainnya
karir.com,/opportunities/1222745,2019-03-31 23:02:42,Pemasaran Internet,REVIEW MODERATOR (TRAVELOKA PROJECT) - JAKARTA,,Setidaknya 0 tahun,DKI-Jakarta,IDR 3.900.000 - 5.000.000,"Diploma, Sarjana/S1 Lainnya"
karir.com,/opportunities/1222778,2019-03-31 23:02:46,Kolektor,DATA COLLECTION TRAVELOKA  YOGYAKARTA ,,Setidaknya 0 tahun,Yogyakarta,IDR 2.000.000 - 3.000.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1222793,2019-03-31 23:02:50,Layanan Pelanggan,SPV CUSTOMER SERVICE KEDIRI,,Setidaknya 1 tahun,Kediri,IDR 3.500.000 - 5.000.000,"Diploma, Sarjana/S1, Master/S2 Semuanya"
karir.com,/opportunities/1222861,2019-03-31 23:02:54,Layanan Pelanggan,CUSTOMER SERVICE PROVIDER JAKSEL,,Setidaknya 0 tahun,Jakarta Selatan,IDR 3.800.000 - 4.400.000,"Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1222882,2019-03-31 23:02:58,Administrasi,Admin Reporting Provider,,Setidaknya 0 tahun,Semarang,IDR 2.700.000 - 3.000.000,Diploma Lainnya
karir.com,/opportunities/1223193,2019-03-31 23:03:01,Layanan Pelanggan,Customer Service Provider Yogyakarta,,Setidaknya 0 tahun,Yogyakarta,IDR 1.800.000 - 2.400.000,Diploma Semuanya
karir.com,/opportunities/1219445,2019-03-31 23:03:04,Komunikasi,Customer Service,,Setidaknya 0 tahun,Jawa Timur,IDR 2.000.000 - 4.000.000,Diploma Ilmu Komunikasi
karir.com,/opportunities/1070396,2019-03-31 23:03:12,Kolektor,Field Collection Sidoarjo,,Setidaknya 0 tahun,Sidoarjo,IDR 2.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070428,2019-03-31 23:03:15,Penjualan dan Pemasaran,Marketing Credit Executive Jakarta Barat,,Setidaknya 0 tahun,Jakarta Barat,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070430,2019-03-31 23:03:19,Kolektor,Kolektor Jakarta Barat,,Setidaknya 0 tahun,Jakarta Barat,IDR 3.000.000 - 4.000.000,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1070441,2019-03-31 23:03:23,Operator,Operator Forklift,,Setidaknya 0 tahun,Jakarta Utara,IDR 3.600.000 - 4.000.000,SLTA Semuanya
karir.com,/opportunities/1070444,2019-03-31 23:03:26,Magang,Admin Magang Jakarta Selatan.,,Setidaknya 0 tahun,Jakarta Selatan,IDR 1.700.000 - 2.100.000,SLTA Semuanya
karir.com,/opportunities/1225259,2019-03-31 23:03:30,Pengembangan Bisnis,Strategic / Key Account Manager untuk area Jakarta,,Setidaknya 4 tahun,Tangerang,Gaji Kompetitif,Sarjana/S1 Ilmu Kimia
karir.com,/opportunities/1225266,2019-03-31 23:03:33,Penjualan dan Pemasaran,"Sales Retail Area Kediri, Tulungagung, Trenggalek, dan sekitarnya",,Setidaknya 1 tahun,Kediri,Gaji Kompetitif,"SLTA, Diploma Manajemen"
karir.com,/opportunities/1225268,2019-03-31 23:03:38,Penjualan dan Pemasaran,"Sales Retail Area Jember, Banyuwangi",,Setidaknya 1 tahun,Banyuwangi,Gaji Kompetitif,"SLTA, Diploma Manajemen"
karir.com,/opportunities/1225608,2019-03-31 23:03:40,Sumber Daya Manusia,TRAINER SPECIALIST,,Setidaknya 1 tahun,DKI-Jakarta,Gaji Kompetitif,"Sarjana/S1 Psikologi, Manajemen"
karir.com,/opportunities/1225632,2019-03-31 23:03:43,Administrasi and others,Admin Marketing - Bandung,,Setidaknya 0 tahun,Bandung,Gaji Kompetitif,"SLTA, Diploma, Sarjana/S1 Semuanya"
karir.com,/opportunities/1223456,2019-03-31 23:03:46,Layanan Pelanggan and others,DSR EDC BCA,,Setidaknya 0 tahun,Bandung,IDR 2.000.000 - 7.000.000,SLTA Semuanya
karir.com,/opportunities/1218583,2019-03-31 23:03:51,Layanan Pelanggan and others,Call Center Officer HaloBCA,,Setidaknya 0 tahun,Tangerang,Gaji Kompetitif,"Diploma, Sarjana/S1 Semuanya"
