url,job,jurusan,lulusan
/opportunities/1073058,Junior Kolektor Ketapang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074006,Marketing Credit Executive Pondok Gede,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073939,PHP PROGRAMMER Jakarta Barat,"Ilmu Komputer, Teknik Informatika, Manajemen Informatika",Sarjana/S1
/opportunities/1073945,ANDROID PROGAMMER Jakarta Barat,"Ilmu Komputer, Teknik Informatika, Manajemen Informatika",Sarjana/S1
/opportunities/1073967,RIDER CIPETE,Semuanya,"Apa Saja, SLTA, Sarjana/S1"
/opportunities/1073968,RIDER CIKARANG,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073838,Kolektor Tulungagung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073925,Sales Taskforce Padang Sidempuan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073929,Marketing Credit Executive Jakarta Barat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073969,RIDER DAAN MOGOT,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073970,RIDER BINTARO,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073989,SPV SALES BALIKPAPAN,Semuanya,Diploma
/opportunities/1073996,Sales TaSKFORCE MAMUJU,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074002,SALES TASKFORCE MOROWALI,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074003,SALES TASKFORCE SINGKAWANG,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074004,SALES TASKFORCE BONE,Semuanya,"Apa Saja, SLTA, Diploma"
/opportunities/1073837,Kolektor Blitar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073729,Sales Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073743,Marketing Credit Executive Jakarta Pusat ,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073744,Marketing Credit Executive Jakarta Barat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073745,Kolektor Jakarta Pusat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073746,Kolektor Jakarta Barat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073828,Marketing Credit Cikarang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073829,Marketing Credit Kediri,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073830,Marketing Credit Probolinggo,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073831,Marketing Credit Pasuruan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073832,Marketing Credit Blitar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073833,Marketing Credit Tulungagung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073834,Kolektor Kediri,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073835,Kolektor Probolinggo,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073836,Kolektor Pasuruan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073728,Kolektor Cinere,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073596,DRIVER SOLO,Semuanya,SLTA
/opportunities/1073593,DRIVER CAWANG,Semuanya,SLTA
/opportunities/1073594,DRIVER YOGYAKARTA,Semuanya,SLTA
/opportunities/1073595,DRIVER MALATEK,Semuanya,SLTA
/opportunities/1073597,DRIVER SEMARANG,Semuanya,SLTA
/opportunities/1073598,DRIVER SAWANGAN,Semuanya,SLTA
/opportunities/1073599,DRIVER TANGERANG,Semuanya,SLTA
/opportunities/1073603,Marketing Credit Executive Pamekasan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073625,KOLEKTOR BEKASI,Sekretaris,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073626,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073647,Marketing Credit Executive Cinere,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073649,Client Relation,Semuanya,Sarjana/S1
/opportunities/1073726,Marketing Credit Executive Bekasi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073592,DRIVER GUNUNG SINDUR,Semuanya,SLTA
/opportunities/1074156,Kolektor Sukabumi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074157,Kolektor Tasikmalaya,Semuanya,"SLTA, Diploma"
/opportunities/1074158,Kolektor Tuban,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074159,Kolektor Yogyakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074200,KOLEKTOR TULANG BAWANG,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074201,Marketing Credit Executive Kalianda,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074202,Marketing Credit Executive Tulang Bawang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074212,Marketing Credit Executive Bandung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074213,Marketing Credit Executive Denpasar,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074214,Marketing Credit Executive Jakarta,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074215,Marketing Credit Executive Tangerang Selatan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074216,Marketing Credit Executive Lampung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073587,DRIVER CIPETE,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1073590,DRIVER DAAN MOGOT,Semuanya,SLTA
/opportunities/1074155,Kolektor Solo,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074139,Kolektor Karawang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074140,Kolektor Kendari,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074141,Kolektor Kotabumi,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074142,Kolektor Madiun,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074143,Kolektor Manado,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074144,Kolektor Mojokerto,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074145,Kolektor Muara Bungo,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074146,Kolektor Padang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074147,Kolektor Pangkal Pinang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074149,Kolektor Purwokerto,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074150,Kolektor Rangkasbitung,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074151,Kolektor Rantau Prapat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074153,Kolektor Rengat,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074154,Kolektor Selong,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074138,Kolektor Jember,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074120,Kolektor Makassar ,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074121,Kolektor Malang,Seni dan Desain,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074122,Kolektor Medan,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074123,Kolektor Semarang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074126,Kolektor Serang,Semuanya,"SLTA, Diploma, Sarjana/S1"
/opportunities/1074127,Kolektor Surabaya,Semuanya,"SLTA, Diploma, Sarjana/S1"
